,Catagory,Content,Similar_Label
0,Front Page,"An exchange of gunfire and a three-hour standoff with police ended safely yesterday as a suspected organized crime member surrendered to police in New Taipei City???s Jhonghe District (??????).No casualties were reported, the New Taipei City Police Department said.The gunman, identified as Liu Pang-cheng (?????????), is the suspected leader of a drug ring and a chapter head of the Celestial Way (?????????) gang, the department said.Sindian (??¢X???) Precinct polivr had Liu under surveillance for some time because he was suspected of heading a narcotics ring and using drugs to recruit addicts to be dealers, it said.Officers tried to apprehend him yesterday morning after an arrest warrant was issued, the department said.Liu resisted arrest and fled toward Jhonghe with the police in pursuit, leading to a firefight on the streets in which 30 shots were exchanged, police said.Liu then entered a residence on Lane 410, Jingsin Street (??¡Â??¢X???), it said.The police officers who had been pursing Liu retreated some distance from the building and a SWAT team was called in to cordon off the alley and warn local residents before negotiations began, the department said.Liu supposedly had a grenade in addition to guns and threatened to commit suicide during the negotiations.He also demanded to see his girlfriend, who police escorted to the scene to talk with Liu after putting body armor on her.After three hours of negotiations, Liu laid down his weapons and surrendered, police said.Liu is also a suspect in several violent crimes reportedly connected to urban development projects in Taipei???s Zhongshan District (????¡Ó¡Ó) and the attempted blackmail of a man surnamed Shao (???) for NT$3 million (US$99,279), police said.During the standoff, the police department???s priority was protecting bystanders and local residents, and triple security lines were established to keep residents from being taken hostage, Criminal Investigation Corps Commander Liao Hsun-cheng (?????????) said.New Taipei City Police Department Commissioner Hu Mu-yuan (?????????) said Liu had apparently acted out of fear of facing 18 years or more in prison for resisting arrest, drugs and other charges.Officers talking with Liu kept telling him that he would not be sentenced to life in prison or to death and that he would be likely to receive parole if he behaves well in prison, Hu said.A prosecutor who was also at the scene told Liu that he would be treated with leniency if he surrendered, Hu said.Meanwhile, a family member of murdered former Taoyuan county commissioner Liu Pang-yu (?????????) yesterday denied that Liu Pang-cheng was a cousin of the dead man, as some local media reports had claimed.Liu Pang-yu???s family lived in Taoyuan???s Jhongli (????¢G¢F) and Pingjhen (??????) districts, and although there are many people in the generation who carry the word Pang (???) in their given names, no one by the name Liu Pang-cheng is known to the family, the relative said.The family deeply mourns Liu Pang-yu and does not wish to see his reputation or that of his relatives tarnished by erroneous information, the relative said.Liu Pang-yu and six others were killed in an execution-style slaying at his residence on Nov. 21, 1996, a case that was never solved.Additional reporting by Lee Jung-ping",1
1,Front Page,"Hundreds of migrant workers and members of labor rights groups yesterday took to the streets of Taipei on the eve of Workers??? Day to urge the government to amend the law to improve working conditions and labor rights for migrant workers.Participants rallied in front of the Ministry of Labor at about noontime, calling on the ministry to meet three main demands, before setting off on a parade that ended on Ketagalan Boulevard in front of the Presidential Office Building.The marchers held signs and banners in several languages, with messages such as ???against the government being employer-friendly and using the system to suppress migrant workers,??? ???do not abuse, migrant workers are humans too??? and ???stop sweatshop migrant labor, fight for equal labor rights.???The parade organizer, the Taiwan International Workers??? Association (TIWA), said it has been 25 years since migrant workers were first allowed in Taiwan, but government regulations have worsened and had thrown the employer-employee relationship off balance for the sake of easier management.The protesters??? three main demands were: abolish the private employment brokerage system and enforce direct recruitment between nation; allow migrant workers to freely switch employers; and fight against the market-driven long-term care service system while protecting household workers??? rights through the Labor Standards Act (???????????????).???We never asked a local worker to pay a brokerage fee of NT$80,000 to NT$150,000 to get a job, so why do migrant workers have to endure such exploitation???? the Migrants Empowerment Network in Taiwan (MENT) said, urging the government to act as an intermediary to prevent exploitation of migrants.???It is ridiculous that migrant workers can only resign if their employer agrees to it,??? the TIWA said, urging lawmakers to amend Article 53 of the Employment Services Act (?¢X¡Ó?¢D??????????).Taiwan???s long-term care service system should be public, because allowing it to become privately run or market-driven will worsen labor conditions for local and migrant caregivers or household workers alike, TIWA said, adding that more than half of migrant household workers work year round, with no holidays.A Vietnamese woman who has worked as a household caregiver for eight years said she had to work long hours and be on stand-by nearly every day, without holidays.She also said that she had to pay a large proportion of her salary to a manpower agency every month.When the marchers reached Ketagelan Boulevard, they tossed paper planes carrying their ???blood-sweat demands??? toward the Presidential Office to symbolize their sending their voices to the president.The Ministry of Labor issued a news release in the afternoon saying that it would ???enhance current direct employment measures, re-examine the eligibility requirements for transferring between employers and try to implement respite care service for employers of migrant household workers to improve and protect their labor rights.???The ministry said it has established a direct employment joint services center for employers to recruit migrant workers without having to use brokers and created an accreditation mechanism to evaluate recruitment agencies.The success rate of transferring workers between employers is about 93.3 percent as of February, the mininstry said.",2
2,Front Page,"The Philippines followed up an ASEAN summit by releasing a final communique yesterday that removed mention of international concerns over China???s ???militarization??? of newly built islands in the disputed South China Sea in a major concession to Beijing.The 25-page statement issued by Philippine President Rodrigo Duterte following the day-long meeting of ASEAN leaders that he hosted in Manila also made no direct mention of his country???s landmark arbitration victory against China last year.A vague reference to the ruling was removed from a part of the communique that discussed the long-seething territorial conflicts and moved elsewhere in the document.The changes were apparent based on a previous draft of the communique seen by reporters.A foreign diplomat based in Manila said that the Philippines circulated a stronger draft statement to other ASEAN members, which was backed by countries like Vietnam.Other governments made suggestions, but Duterte, as ASEAN chairman this year, could decide how to shape the language of the regional bloc???s ???chairman???s statement,??? said the diplomat, who spoke on condition of anonymity because of a lack of authority to discuss the issue publicly.China and ASEAN member states Brunei, Malaysia, the Philippines and Vietnam, along with Taiwan, have overlapping claims to territory in the South China Sea.ASEAN, which makes decisions by consensus, has previously struggled to come up with statements on the issue, with Duterte???s predecessor often pushing for a tougher tone against China and getting pushback from Cambodia and Laos, unwilling to upset their largest trading partner and most important economic benefactor.China has dismissed and ignored the arbitration ruling handed down in July last year, which invalidated most of its historic claims to almost all of the South China Sea.Since taking office in June last year, Duterte has taken a much softer stance on China and the disputes than his predecessor.That was reflected in yesterday???s watered-down communique, which three Philippine officials said came at the request of Chinese diplomats in Manila.The officials spoke on condition of anonymity as they were not authorized to discuss the issue with the media.Former Philippine officials who dealt with the disputes say Duterte???s concessions to China could weaken the ability of the Philippines and other ASEAN members to seek Chinese compliance to the arbitration ruling and curb Beijing???s increasingly assertive behavior.???Our government, in its desire to fully and quickly accommodate our aggressive northern neighbor may have left itself negotiating a perilous road with little or no room to rely on brake power and a chance to shift gears if necessary,??? former Philippine foreign secretary Albert del Rosario said.",1
3,Front Page,"South Korea said the US had reaffirmed it would shoulder the cost of deploying the Terminal High Altitude Area Defense (THAAD) system, days after US President Donald Trump said Seoul should pay for the US$1 billion battery designed to defend against North Korea.In a telephone call yesterday, Trump???s national security adviser, Lieutenant General H.R. McMaster, reassured his South Korean counterpart, Kim Kwan-jin, that the US alliance with South Korea was its top priority in the Asia-Pacific region, the South Korean presidential office said.The conversation followed another North Korean missile test-launch on Saturday, which Washington and Seoul said was unsuccessful.Trump, asked about his message to North Korea after the latest missile test, told reporters: ???You???ll soon find out,??? but did not elaborate on what the US response would be.Trump???s comments in an interview on Thursday that he wanted Seoul to pay for the THAAD deployment perplexed South Koreans and raised questions about his commitment to the two countries??? alliance.South Korean officials responded that the cost was for Washington to bear, under the bilateral agreement.???National Security Adviser H.R. McMaster explained that the recent statements by President Trump were made in a general context, in line with the US public expectations on defense cost burden-sharing with allies,??? the Blue House said in a statement, adding that McMaster requested the call.Major elements of the THAAD system were last week moved into the planned site in Seonjgu, in the south of the country.About 300 residents yesterday rallied as two US Army trucks tried to enter the deployment site.Video provided by villagers showed protesters blocking the road with a car and chanting slogans such as ???Don???t lie to us! Go back to your country!???Police said they had sent about 800 officers to the site and two residents were injured during clashes with them.Seoul and the US say the sole purpose of THAAD is to guard against North Korean missiles.",1
4,Front Page,"Taiwan???s Tai Tzu-ying (?????????), the world???s top-ranked women???s badminton player, yesterday defeated Akane Yamaguchi of Japan to win the women???s singles title at the Badminton Asia Championships in Wuhan, China.Kaohsiung-born Tai beat Yamaguchi 18-21, 21-11, 21-18 in three sets, becoming the first Taiwanese to win a title at the Asian tournament since it was launched in 1962.It was Tai???s sixth straight World Super Series title and followed her win at the World BWF Super Series Singapore Open Badminton Championship two weeks earlier on April 16.Tai, who will turn 23 next month, has remained unbeatable in international competitions after gaining to the world No. 1 ranking in December last year.",1
5,Taiwan News,"The nation???s military ties with the US have improved with frequent visits, while Taiwan is in the process of acquiring key defense systems from the US including attack helicopters, frigates and missile systems, the Ministry of National Defense said.About 1,000 US military officials made 140 visits to Taiwan last year, and about 900 Taiwanese military officials made 170 visits to the US for military exchanges and cooperation, according to a defense report to be submitted to the Legislative Yuan for review today.The report outlines goals and strategies to develop a new Taiwan-US framework in response to renewed US-China ties.The frequent bilateral visits suggest a close relationship between Taipei and Washington, and US officials have interacted with ministry officials, observed military exercises held by Taiwanese armed forces and helped evaluate the nation???s defense capabilities, the ministry said.???Bilateral military relations have expanded from the simple acquisition of ???hardware??? weapons to an interactive mechanism where ???software??? and ???hardware??? are given equal importance,??? the report says.It is the first time that the ministry has disclosed the number of officials involved in military exchanges between Taiwan and the US.Military exchanges with the US include 10 categories: policy discussion, arms sales, academic exchange, intelligence sharing, combat training, supply and logistics, cyberwarfare, armament management, defense capabilities evaluation and training.The ministry is to facilitate visits to Taiwan this fiscal year by high-level US military officials with policymaking authority in line with the US National Defense Authorization Act, which says that the US secretary of defense should enact a program of exchanges between senior Taiwanese and US military officers and officials to improve military-to-military relations.Following a meeting between US President Donald Trump and Chinese President Xi Jinping (?????????) last month, Washington has maintained regular interaction with Taipei in terms of security issues, and Taiwan is seeking to hold talks with the US concerning the US-China Comprehensive Dialogue framework set up to revamp the existing US-China structure.Nine arms deals are being conducted, including the acquisition of AH-64E Apache helicopters, UH-60M Black Hawk helicopters, Oliver Hazard Perry-class frigates, AAV-7 Assault Amphibious Vehicles, short-range portable air-defense missile systems, Raytheon Phalanx close-in weapons systems and P-3C Orion aircraft, as well as upgrading the nation???s F-16 jets and Patriot Advanced Capability-3 missile systems.The acquisitions and upgrade are expected to substantially improve Taiwan???s overall defense capabilities, the report says.The ministry said it would seek to acquire more weapons from the US, although it is expected that Beijing would continue to manipulate cross-strait relations in a bid to influence US policy over arms sales to Taiwan.The ministry is also seeking active participation in the US??? new Asia-Pacific policy to contribute to regional cooperation, counterterrorism and humanitarian aid.",1
6,Taiwan News,"Liberty Times (LT): Despite public opinion polls showing 80 percent support for the reforms, misconceptions and opposing voices remain. Should these be addressed and clarified?Lin Wan-i (?????????)",2
7,Taiwan News,"Chinese Nationalist Party (KMT) chairmanship candidate Steve Chan (????????¢F) yesterday urged other candidates to refrain from capitalizing on Hon Hai Precision Industry Co chairman Terry Gou (?????¢X???), who has been mentioned as a potential KMT candidate for the presidential election in 2020.???A certain party chairperson candidate has been floating the idea, but it is irresponsible and demonstrates his lack of confidence,??? Chan said on Facebook, referring to KMT Vice Chairman Hau Lung-bin (?????????), who said he would nominate Gou as the party???s presidential candidate if he is elected KMT chairman.Chan said the KMT should not cling to wishful thinking and rely on people outside of the party to win the next presidential election, because a last-minute refusal from the candidate could disrupt the party???s campaign strategy and result in the nomination of an unsuitable candidate.That could lead to a repeat of what happened in last year???s presidential election campaign, during which the KMT replaced its original candidate, KMT Chairwoman Hung Hsiu-chu (????¡±???¡Ó), with New Taipei City Mayor Eric Chu (??¡Ó??????) only three months before the vote due to Hung???s falling approval rating, Chan said.Touting his friendship with Gou, Chan said he contacted the businessman last year for a loan when the KMT was facing financial difficulties after its bank accounts were frozen by the Executive Yuan???s Ill-gotten Party Assets Settlement Committee.???The incident goes to show our [close] relationship. We have talked about the 2020 race before, but Gou should be the one answering the question??? about whether he wants to represent the KMT in the next presidential election, Chan said.Gou???s mother loaned the KMT NT$45 million (US$1.49 million) in October last year when the party was struggling to pay its employees.Gou last week attracted public attention after he was filmed walking out of the White House on Thursday and Friday during a trip to Washington to discuss a potential investment in the US.The White House yesterday confirmed that Gou on Friday briefly met with US President Donald Trump.Chan said the KMT should engage in self-reflection and explore ways to attract talent from various sectors of society to join the party.The party should propose policies that would touch the voters, instead of capitalizing on Gou???s influence, he added.However, the Facebook post was edited hours later to remove the parts about Chan asking Gou for a loan and Hau capitalizing on the businessman.Hau yesterday again pointed at Gou as the only person that stands a chance of defeating President Tsai Ing-wen (?????¡Ó???) in the next presidential election.???A party leader should be selfless and think about nothing but ???winning.??? Recent polls have shown that Gou could defeat Tsai in a two-legged race. If surveys conducted near the 2020 election still suggest similar results, I will spare no efforts in persuading Gou to represent the party,??? Hau said.",1
8,Taiwan News,"The nation should garner the support of the international community and the next WHO director-general ahead of the World Health Assembly (WHA), former WHO representative Peter Chang (?????????) said.The WHO???s decisionmaking body is to meet later this month in Geneva, Switzerland, but Taiwan has yet to receive an invitation.Minister of Health and Welfare Chen Shih-chung (?????????) last week said that he will lead a delegation to the WHA even if it does not send Taiwan an invitation, adding that contingency plans have been prepared to explain Taiwan???s position and its contributions to medicine.Chang, a physician and retired official with nearly two decades of experience in WHO affairs, on Saturday said that the government???s pledge to send a delegation to Geneva with or without an invitation is a ???good move??? that allows Taiwan to take the initiative.For Taiwan, participation in international health events is comparable to the Olympics Games in that it is an opportunity to present the nation???s image to the world, Chang said, adding that officials might compensate for Taiwan???s exclusion from the assembly by sending messages to the world.The nation???s participation in international organizations is more than a formality because it allows the establishment of relations with the global community, he said.The international medical and healthcare arena is comprised of ???a complex commercial network,??? and Taiwan???s use of its observer status is a ???mere formality,??? Chang said.The government???s failure to allocate sufficient funds to official development assistance was a major obstacle to the nation???s efforts to convince other governments to support Taiwan in the WHO, he said.???We cannot attend the meetings empty-handed. Instead, we should have a compelling and professionally crafted cooperative strategy prepared after observing the needs of other nations and forming ties with their professionals,??? Chang said.This year, the assembly is to elect the successor to WHO Director-General Margaret Chen (???????¡Â????), who is to step down soon, he said.The candidates are Ethiopia???s former minister of health and Minister of Foreign Affairs Tedros Adhanom Ghebreyesus, who represents Africa; Britain???s David Nabarro, a UN epidemiology consultant who represents Europe and the Americas; and Pakistan???s Sania Nishtar, a former federal minister of health who represents South Asia.Taiwan should consider the pre-election period an opportunity, because it is a test of WHO politics and sees a redistribution of power within the organization, Chang said, calling on the government to ???aggressively lobby??? all three candidates to support Taiwan.???The nation???s medical profession and the public expect Taiwan to have a role in the WHA, and the nation should unite and give it its best effort,??? he said. ???Even if this year???s outcome does not fully meet the nation???s expectations, the government has no room for fear, avoidance or doubt.???",1
9,Taiwan News,"A regulation requiring that amateur radio operators take the International Morse Code Test to obtain a license is soon to be abolished, the National Communications Commission (NCC) said yesterday.The commission has already approved the amendments, frequency and resources department deputy director Chen Chun-mu (?????¢D???) said.However, it is obligated to make the amended regulations available for public view for two months and then make any changes deemed necessary before they can take effect, he said.Many other nations have also removed the need for a Morse code test, he said.Following requests from amateur radio operators, the amended regulations stipulate that they can use frequencies between 432 megahertz (MHz) and 440MHz, he said.The amendments also extend the validity of amateur radio operating licenses from five years to 10 years, Chen said.In addition, the amendments stipulate that amateur radio operators would be able to start renewing their licenses five months before their licenses expire, he said.Current regulations allow them to do so one month before the expiration date.The commission has also streamlined application procedures, Chen said, adding that the commission is in the process of amending other rules for amateur radio operators interested in using radio frequencies to conduct experiments.People interested in operating amateur radios must first obtain a license to operate a radio station.According to the commission, there are about 3 million amateur radio operators around the world.Commission data showed that 42,900 licenses for qualified amateur radio operators were issued between 2012 and last year.Over the same period, the commission issued 1,177 licenses for fixed radio stations and 15,817 licenses for mobile radio stations, the data showed.",2
