article,rating
"Ruth needed a new notebook, so she looked for a store that sold stationery",1
"After we ate the fried chicken, our fingers were oily, so we asked the waitress for more napkins",1
Sara was jealous because her grandmother had put more money in her brother's red envelope,1
"Whitney told the doctor that she had coughed all night, and he gave her another kind of medicine",1
"Jack worked at the restaurant last year, but he doesn't work there anymore",1
The student raced out of the classroom and bumped into a teacher who was carrying a cup of coffee,1
"Mom, Johnny's mother doesn't have enough chairs for her dinner guests.  She wants to borrow one of ours",1
Elementary school students don't have as much homework as junior high students do,1
"Both of those horses live on Jack's farm, but the one on the left isn't his",1
Please separate your garbage and put it in the appropriate containers,1
Writing letters is not as difficult as you think,1
"The bus was full, but Judy saw an empty seat next to an old woman. ""May I sit here?"" she asked her",1
The boys are in school every day until four o'clock in the afternoon.  After that they  spend an hour playing baseball.,1
We ran into the building because the rain was falling harder and harder,1
Mr. Li teaches mathematics at a public high school in Kaohsiung.  He has been there since 1995,1
"Helen had a terrible night last night.  While she was doing her homework, the electricity went out.  Even though she had a flashlight, she still couldn't see very well.  In addition, she had to comfort her little sister, who was afraid of the dark. After Helen finally fell asleep, an ambulance came down the street and woke her up.  Then, a thunderstorm started, so she had to get up and close her window.  At 4:00, a baby started crying loudly and kept her awake for an hour.  Then at 6:00, her alarm clock rang; it was time to get up and go to school",1
"Jane lived near the sea, and she often went down to the beach to sit on the sand.  Being by the sea was like being in a different world.  In front of her was the deep blue water; it slowly moved toward her and then moved away again.  Sometimes it suddenly came very close and then her feet were covered by the salty water.  Above her, soft white clouds continually floated across the pretty blue sky.  Noisy white birds were flying over her head as well.  Sometimes they dived down suddenly to catch a fish, and then they quickly flew back up into the air.  Jane often sat by the sea for hours to enjoy this special place.",1
PLEASE WAIT BEHIND WHITE LINE,1
"Dear Grandma and Grandpa, Thank you so much for the sweater you sent me for Christmas!  It fits perfectly, and purple is my favorite color!  It's very warm, too ¡V just perfect for the weather we've been having here recently.  All of my classmates want one like it! Cathy really likes the doll you gave her.  She plays with it every day, and she tries to take it everywhere! I hope you are both doing well. See you this summer! Sincerely, Billy",1
"High-fashion sunglasses in super colors, like rich red, beautiful blue, and great green!  Perfect for tennis, running, or just spending time in the sun.  All in this season's HOT shapes, square and oval.",1
"The Martin family took a two-week vacation last summer.  The day before the trip, all of the family members helped with the preparations.  Mr. Martin asked the neighbors, the Smiths, to check the mailbox every day and take out any letters or advertisements.  After lunch, Mrs. Martin took all the extra food out of the refrigerator; she gave some to the Smiths, and she threw away the rest.  Paul Martin put several cans of dog food in a bag, and he took his big dog Roxy over to his friend's house.  Mary and Susie Martin cleaned the whole house.  They swept and washed the floors in all of the rooms, dusted the furniture, and cleaned the bathroom. That evening, the Martin family ate dinner at a restaurant.  When they arrived home, Mr. Martin told the family to take off their clothes and put on T-shirts and shorts.  Then his youngest daughter Cindy began to wash and dry everyone's clothes.""Now,"" said Mr. Martin, ""we can begin to pack our suitcases for the trip.""",1
"My sister hates all bugs, especially cockroaches",1
"After we ate the fried chicken, our fingers were oily, so we asked the waitress for more napkins.",1
The wind was so cold that the thin scarf wasn't very effective,1
"Todd hid the candy in his left hand.  Then he held out both hands and said, ""Guess where the candy is.""",1
"Jack worked at the restaurant last year, but he doesn't work there anymore",1
"Nancy gained four kilograms during the holidays, so she decided to go on a diet",1
"My mother does the housework during the week, but my father helps her on the weekends",1
Elementary school students don't have as much homework as junior high students do,1
"When the party ended, my husband and I drove home.  We went to bed immediately because both of us were very tired",1
Please separate your garbage and put it in the appropriate containers.,1
"In Japan, two people bow when they meet.  In the west, shaking hands is the usual custom",1
Can you pick the boss up at the CKS Airport next Friday evening?,1
The babysitter has been with the child since this morning,1
We ran into the building because the rain was falling harder and harder.,1
"Scott and Mark usually play basketball behind the school after classes, but I didn't see them there today",1
"Helen had a terrible night last night.  While she was doing her homework, the electricity went out.  Even though she had a flashlight, she still couldn't see very well.  In addition, she had to comfort her little sister, who was afraid of the dark. After Helen finally fell asleep, an ambulance came down the street and woke her up.  Then, a thunderstorm started, so she had to get up and close her window.  At 4:00, a baby started crying loudly and kept her awake for an hour.  Then at 6:00, her alarm clock rang; it was time to get up and go to school. ",1
"Harry woke up hungry last Thursday because he had eaten dinner very early the night before.  Even before getting dressed, he went into the kitchen to get something to eat.  He decided to have cereal, but when he opened the refrigerator, he found there was no milk.  Then he decided to have eggs and toast, but when he looked for the eggs, he wasn't able to find any.  He only found two pieces of bread, so he decided to just make toast while he got dressed.  However, when he came back to the kitchen, his toast was badly burned because the toaster was set on high.  He looked around for something else to eat but only found several cookies, so he ate the cookies and went to school hungry. ",1
"Dear Grandma and Grandpa, Thank you so much for the sweater you sent me for Christmas!  It fits perfectly, and purple is my favorite color!  It's very warm, too ¡V just perfect for the weather we've been having here recently.  All of my classmates want one like it! Cathy really likes the doll you gave her.  She plays with it every day, and she tries to take it everywhere! I hope you are both doing well.  See you this summer! Sincerely, Billy",1
"Music Town has finally arrived in Taiwan!  Don't miss our Grand Opening celebration, starting this weekend!  For nine days only, you'll enjoy savings of 15 to 30 percent on all of your favorite music.  This is the place that offers the largest selection of CDs and cassette tapes on the island ¡V classical, jazz, pop, blues, rock and roll, and more. Be our one-thousandth customer, and win great prizes!",1
"I am proud of our fast food restaurant, and I think that all of our employees work hard.  But some of our counter workers are forgetting something important.  You need to be not only fast and exact, but also friendly. Taking food orders again and again can make you tired, and even bored.  This is natural.  But don't let these feelings affect the way you behave toward customers.  Remember that THE CUSTOMER COMES FIRST.  We consider him to be very important, and we are happy to provide great service for him.  So always give your customers a sunny smile.  Show them that they are special to us, and they will come back again",1
"After the police arrive, they will begin to interview the people who were in the jewelry store at the time of the robbery.",2
